단말기명,모델명,출고가,출시일자,통신사
galaxy note4 ,"sm-n910k,sm-n910kw,sm-n910l,sm-n910s",699600,2015-10-08,"KT,LG.SKT"
linefriends smartphone,zte-k813,231000,  2017-03-01,KT
luna s,tg-l900s,568700,2017-10-12,SKT
luna s,tg-l900s,499400,2016-12-07,SKT
vega lte-a,im-a880s,878900,2013-08-19,SKT
vega number6,im-a860l,849000,2013-02-07,LG
vega secret up,im-a900l,954800,2013-12-10,LG
vega secret note,im-a890l,990000,2013-10-16,LG
vega iron2,im-a910l,783200,2014-05-12,LG
volt,lg-f540s,297000,2015-04-17,SKT
view3,"lg-f300k,lg-f300l",643500,2013-09-27,"KT,LG"
iphone 4 16gb,iphone4_16g,814000,2010-06-24,SKT
iphone 4 32gb,,946000,2010-06-24,
iphone 4s 16gb,iphone4s_16g,814000,2011-10-24,SKT
iphone 4s 32gb,iphone4s_32g,946000,2011-10-24,
iphone 4s 64gb,iphone4s_64g,1078000,2011-10-24,
iphone 6 16gb,"a1586-128,a1586-16,a1586-32,a1586-64,iphone6_128g,iphone6_16g,iphone6_32g,iphone6_64g,aip6-128sv,aip6-128gd,aip6-128sg,aip6-16sv,aip6-16gd,aip6-16sg,aip6-32sg,aip6-64sg,aip6-64gd,aip6-64sv,rf-a1586-128,rf-a1586-16,rf-a1586-64",789800,2014-09-19,"LG,SKT,KT"
iphone 6 64gb,"a1586-128,a1586-16,a1586-32,a1586-64,iphone6_128g,iphone6_16g,iphone6_32g,iphone6_64g,aip6-128sv,aip6-128gd,aip6-128sg,aip6-16sv,aip6-16gd,aip6-16sg,aip6-32sg,aip6-64sg,aip6-64gd,aip6-64sv,rf-a1586-128,rf-a1586-16,rf-a1586-64",924000,2014-09-19,
iphone 6 128gb,"a1586-128,a1586-16,a1586-32,a1586-64,iphone6_128g,iphone6_16g,iphone6_32g,iphone6_64g,aip6-128sv,aip6-128gd,aip6-128sg,aip6-16sv,aip6-16gd,aip6-16sg,aip6-32sg,aip6-64sg,aip6-64gd,aip6-64sv,rf-a1586-128,rf-a1586-16,rf-a1586-64",1056000,2014-09-19,
iphone 6 plus 16gb,"a1524-128,a1524-16,a1524-64,iphone6+_128g,iphone6+_16g,iphone6+_64g,aip6p-128sv,aip6p-128gd,aip6p-128sg,aip6p-16gd,aip6p-16sv,aip6p-16sg,aip6p-64sg,aip6p-64gd,aip6p-64sv",924000,2015-09-25,"LG,SKT,KT"
iphone 6 plus 64gb,"a1524-128,a1524-16,a1524-64,iphone6+_128g,iphone6+_16g,iphone6+_64g,aip6p-128sv,aip6p-128gd,aip6p-128sg,aip6p-16gd,aip6p-16sv,aip6p-16sg,aip6p-64sg,aip6p-64gd,aip6p-64sv",1056000,2015-09-25,
iphone 6 plus 128gb,"a1524-128,a1524-16,a1524-64,iphone6+_128g,iphone6+_16g,iphone6+_64g,aip6p-128sv,aip6p-128gd,aip6p-128sg,aip6p-16gd,aip6p-16sv,aip6p-16sg,aip6p-64sg,aip6p-64gd,aip6p-64sv",1188000,2015-09-25,
alcatel idol chac,am-h100,287000,2015-04-17,SKT
optimus g,lg-f180l,968000,2012-09-28,LG
optimus gpro ,"lg-f240l,lg-f240s",858000,2013-02-21,"LG,SKT"
optimus view2,lg-f200l,966900,2012-09-28,LG
wise2 2g,shc-z160s,451000,2013-01-12,SKT
wine smart,"lg-f480k,lg-f480l,lg-f480s",297000,2014-09-29,"KT,LG,SKT"
wine smart jazz,"lg-f610k,lg-f610kn,lg-f610s",242000,2015-09-22,"KT,SKT"
huawei x3,hw-h60-j1,330000,2014-06-24,LG
galaxy note 2,"shv-e250s,shv-e250k,shv-e250l",1089000,2012-09-26,"LG,SKT.KT"
galaxy note 2,"shv-e250s,shv-e250k,shv-e250l",990000,2013-04-06,"LG,SKT.KT"
